"applicability","country","identifier","message","name","otherReasonInfo","reason","region","regulationExemption","restriction","restrictionConditions","type","uSpaceClass","zoneAuthority_contactName","zoneAuthority_email","zoneAuthority_intervalBefore","zoneAuthority_name","zoneAuthority_phone","zoneAuthority_purpose","zoneAuthority_service","zoneAuthority_siteURL"
"NO","FXX","69","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 142] HEVEA","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","70","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 143 A] ACACIA","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","71","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 143 B] ACACIA","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","72","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 155] RIANS","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","73","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 178] SAINTE FOY DE PEYROLIERES","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"YES","FXX","74","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 179] LIAS","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","75","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 181] LE CUIN","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","76","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 182] RAISSAC","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","77","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 184] LE BERTRANDOU","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","78","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 192 E] RUN CEVENNES","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
